configuracao;nuvem;execucao;workload;tempoinicial;tempofinal
configuracao2;AmazonAWS;execucao4;workload1;06:23:01;06:29:14
configuracao2;AmazonAWS;execucao4;workload2;06:29:18;06:41:49
configuracao2;AmazonAWS;execucao5;workload1;06:41:52;06:47:50
configuracao2;AmazonAWS;execucao5;workload2;06:47:53;07:00:14
configuracao2;AmazonAWS;execucao3;workload1;06:06:43;06:12:35
configuracao2;AmazonAWS;execucao3;workload2;06:12:38;06:22:58
configuracao2;AmazonAWS;execucao2;workload1;05:50:07;05:56:17
configuracao2;AmazonAWS;execucao2;workload2;05:56:20;06:06:40
configuracao2;AmazonAWS;execucao9;workload1;09:50:24;09:56:23
configuracao2;AmazonAWS;execucao9;workload2;09:56:26;10:06:57
configuracao2;AmazonAWS;execucao8;workload1;09:31:57;09:39:43
configuracao2;AmazonAWS;execucao8;workload2;09:39:46;09:50:21
configuracao2;AmazonAWS;execucao7;workload1;09:13:33;09:21:21
configuracao2;AmazonAWS;execucao7;workload2;09:21:23;09:31:54
configuracao2;AmazonAWS;execucao6;workload1;08:55:14;09:03:01
configuracao2;AmazonAWS;execucao6;workload2;09:03:04;09:13:30
configuracao2;AmazonAWS;execucao1;workload1;05:32:04;05:39:35
configuracao2;AmazonAWS;execucao1;workload2;05:39:38;05:50:04
configuracao2;AmazonAWS;execucao91;workload1;10:06:59;10:12:56
configuracao2;AmazonAWS;execucao91;workload2;10:12:59;10:23:30
configuracao2;GoogleCloud;execucao4;workload1;06:51:07;06:54:12
configuracao2;GoogleCloud;execucao4;workload2;06:54:14;06:59:36
configuracao2;GoogleCloud;execucao5;workload1;06:59:38;07:02:42
configuracao2;GoogleCloud;execucao5;workload2;07:02:44;07:08:08
configuracao2;GoogleCloud;execucao3;workload1;06:42:38;06:45:41
configuracao2;GoogleCloud;execucao3;workload2;06:45:43;06:51:05
configuracao2;GoogleCloud;execucao2;workload1;06:30:58;06:34:03
configuracao2;GoogleCloud;execucao2;workload2;06:34:05;06:39:28
configuracao2;GoogleCloud;execucao9;workload1;12:12:18;12:15:30
configuracao2;GoogleCloud;execucao9;workload2;12:15:32;12:21:06
configuracao2;GoogleCloud;execucao8;workload1;12:03:34;12:06:41
configuracao2;GoogleCloud;execucao8;workload2;12:06:43;12:12:16
configuracao2;GoogleCloud;execucao7;workload1;11:54:36;11:57:54
configuracao2;GoogleCloud;execucao7;workload2;11:57:56;12:03:32
configuracao2;GoogleCloud;execucao6;workload1;11:45:22;11:48:49
configuracao2;GoogleCloud;execucao6;workload2;11:48:51;11:54:34
configuracao2;GoogleCloud;execucao1;workload1;06:08:59;06:12:15
configuracao2;GoogleCloud;execucao1;workload2;06:14:29;06:19:51
configuracao2;GoogleCloud;execucao91;workload1;12:21:08;12:24:15
configuracao2;GoogleCloud;execucao91;workload2;12:24:17;12:29:51
configuracao1;AmazonAWS;execucao4;workload1;07:15:12;07:29:56
configuracao1;AmazonAWS;execucao4;workload2;07:29:59;07:45:55
configuracao1;AmazonAWS;execucao5;workload1;07:45:58;08:00:44
configuracao1;AmazonAWS;execucao5;workload2;08:00:47;08:16:53
configuracao1;AmazonAWS;execucao3;workload1;06:44:34;06:59:06
configuracao1;AmazonAWS;execucao3;workload2;06:59:09;07:15:09
configuracao1;AmazonAWS;execucao2;workload1;06:13:04;06:28:24
configuracao1;AmazonAWS;execucao2;workload2;06:28:28;06:44:31
configuracao1;AmazonAWS;execucao1;workload1;05:40:16;05:49:52
configuracao1;AmazonAWS;execucao1;workload2;05:49:55;06:13:01
configuracao1;GoogleCloud;execucao4;workload1;10:11:33;10:21:08
configuracao1;GoogleCloud;execucao4;workload2;10:21:10;10:31:00
configuracao1;GoogleCloud;execucao5;workload1;10:31:02;10:36:29
configuracao1;GoogleCloud;execucao3;workload1;16:43:29;16:48:41
configuracao1;GoogleCloud;execucao3;workload2;16:48:43;16:57:47
configuracao1;GoogleCloud;execucao2;workload1;16:29:06;16:34:20
configuracao1;GoogleCloud;execucao2;workload2;16:34:22;16:43:27
configuracao1;GoogleCloud;execucao1;workload1;16:14:37;16:19:46
configuracao1;GoogleCloud;execucao1;workload2;16:19:48;16:29:04
